	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
pleura	-0.07381834549402044		0.899230769231	0.100769230769	0.100769230769	1.0	0.436666666667	0.436666666667
large_intestine.carcinoma.NS	-0.07699557753797305		0.918307692308	0.0816923076923	0.0816923076923	1.0	0.393333333333	0.393333333333
central_nervous_system.glioma.NS	-0.08996398667618888		0.97	0.03	0.03	1.0	0.15	0.15
lung.carcinoma.squamous_cell_carcinoma	-0.10415331375338092		0.990461538462	0.00953846153846	0.00953846153846	1.0	0.0496	0.0496
lung.carcinoma.adenocarcinoma	-0.10576167962829815		0.991384615385	0.00861538461538	0.00861538461538	1.0	0.0466666666667	0.0466666666667
urinary_tract.carcinoma.transitional_cell_carcinoma	-0.10679516435017529		0.992307692308	0.00769230769231	0.00769230769231	1.0	0.0434782608696	0.0434782608696
pancreas.carcinoma.ductal_carcinoma	-0.11218555229890849		0.995692307692	0.00430769230769	0.00430769230769	1.0	0.0254545454545	0.0254545454545
bone	-0.11307287514591217		0.995846153846	0.00415384615385	0.00415384615385	1.0	0.0254545454545	0.0254545454545
urinary_tract	-0.11883317629835152	0.007041126864042376	0.998	0.002	0.002	1.0	0.013	0.013
skin.malignant_melanoma.NS.0	-0.12075023473526285	0.006353124851479118	0.998307692308	0.00169230769231	0.00169230769231	1.0	0.0115789473684	0.0115789473684
upper_aerodigestive_tract.carcinoma.squamous_cell_carcinoma	-0.12490876034759246	0.00623579672873937	0.998769230769	0.00123076923077	0.00123076923077	1.0	0.00888888888889	0.00888888888889
kidney	-0.12603725068267602	0.030297029811494996	0.998769230769	0.00123076923077	0.00123076923077	1.0	0.00888888888889	0.00888888888889
central_nervous_system.glioma.astrocytoma_Grade_IV	-0.12835395836402114	0.009098740998782644	0.998769230769	0.00123076923077	0.00123076923077	1.0	0.00888888888889	0.00888888888889
upper_aerodigestive_tract	-0.13353381493186658	0.005962377337776115	0.999384615385	0.000615384615385	0.000615384615385	1.0	0.00533333333333	0.00533333333333
autonomic_ganglia	-0.13394364019428895	0.035932018540618414	0.999384615385	0.000615384615385	0.000615384615385	1.0	0.00533333333333	0.00533333333333
autonomic_ganglia.neuroblastoma.NS	-0.13394364019428895	0.035932018540618414	0.999384615385	0.000615384615385	0.000615384615385	1.0	0.00533333333333	0.00533333333333
neuroblastoma	-0.13394364019428895	0.035932018540618414	0.999384615385	0.000615384615385	0.000615384615385	1.0	0.00533333333333	0.00533333333333
lung	-0.13473006168014057	0.03596789648283331	0.999384615385	0.000615384615385	0.000615384615385	1.0	0.00533333333333	0.00533333333333
pancreas.carcinoma.NS	-0.13737115573120204	0.007892863700244753	0.999384615385	0.000615384615385	0.000615384615385	1.0	0.00533333333333	0.00533333333333
central_nervous_system	-0.14237094593295443	0.0095021737324876	0.999692307692	0.000307692307692	0.000307692307692	1.0	0.00444444444444	0.00444444444444
large_intestine.carcinoma.adenocarcinoma	-0.14279807437524406	0.010321348947326317	0.999692307692	0.000307692307692	0.000307692307692	1.0	0.00444444444444	0.00444444444444
lung.carcinoma.small_cell_carcinoma	-0.14282652250038094	0.03733564289985471	0.999692307692	0.000307692307692	0.000307692307692	1.0	0.00444444444444	0.00444444444444
large_intestine	-0.1536667733782898	0.008490528080958137	0.999846153846	0.000153846153846	0.000153846153846	1.0	0.003333333333333333	0.003333333333333333
glioma	-0.15757428141142713	0.009997376007259305	0.999846153846	0.000153846153846	0.000153846153846	1.0	0.003333333333333333	0.003333333333333333
pancreas	-0.1705433376309925	0.00847643736213881	1.0	0.00015384615384615385	0.00015384615384615385	1.0	0.003333333333333333	0.003333333333333333
skin.malignant_melanoma.NS.1	-0.18204901468783746	0.007603111184811257	1.0	0.00015384615384615385	0.00015384615384615385	1.0	0.003333333333333333	0.003333333333333333
malignant_melanoma	-0.21668980958575237	0.006741288887520176	1.0	0.00015384615384615385	0.00015384615384615385	1.0	0.003333333333333333	0.003333333333333333
skin	-0.21668980958575237	0.006741288887520176	1.0	0.00015384615384615385	0.00015384615384615385	1.0	0.003333333333333333	0.003333333333333333
